"species","life_form","X","X.1"
"Crambe pritzelii","perennial","",""
"Crambe arborea","perennial","",""
"Crambe scoparia","perennial","",""
"Crambe wildpretii","perennial","",""
"Crambe strigosa","perennial","",""
"Crambe gigantea","perennial","",""
"Crambe microcarpa","perennial","",""
"Crambe scaberrima","perennial","",""
"Crambe laevigata","perennial","",""
"Crambe feuilleei","perennial","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Crambe gomeraea","perennial","",""
"Crambe fruticosa","perennial","",""
"Crambe sventenii","perennial","",""
"Erucastrum cardaminoides","no_life_form_on_database","",""
"Erucastrum virgatum","no_life_form_on_database","",""
"Diplotaxis virgata","annual","",""
"Diplotaxis tenuisiliqua","no_life_form_on_database","",""
"Diplotaxis assurgens","no_life_form_on_database","",""
"Sinapidendron frutescens","perennial","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Sinapidendron angustifolium","perennial","",""
"Erucastrum varium","no_life_form_on_database","",""
"Diplotaxis siifolia","annual","",""
"Diplotaxis berthautii","no_life_form_on_database","",""
"Diplotaxis catholica","annual","",""
"Erucastrum brevirostre","no_life_form_on_database","",""
"Enarthrocarpus lyratus","annual","",""
"Enarthrocarpus arcuatus","annual","",""
"Rapistrum perenne","annual","",""
"Moricandia spinosa","perennial","",""
"Moricandia arvensis var. robusta","no_life_form_on_database","",""
"Moricandia suffruticosa","perennial","",""
"Moricandia nitens","perennial","",""
"Moricandia sinaica","perennial","",""
"Moricandia moricandioides","perennial","",""
"Moricandia foetida","perennial","",""
"Rytidocarpus moricandioides","annual","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Coincya longirostra","annual","",""
"Coincya monensis","annual","",""
"Coincya rupestris","annual","",""
"Hemicrambe fruticulosa","perennial","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Kremeriella cordylocarpus","no_life_form_on_database","",""
"Sinapis alba","annual","",""
"Cakile maritima f. islandica","annual","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Cakile arabica","annual","",""
"Cakile lanceolata subsp. pseudoconstricta","annual","",""
"Cakile constricta","annual","",""
"Cakile lanceolata var. fusiformis","annual","",""
"Cakile edentula var. lacustris","annual","",""
"Cakile lanceolata","annual","",""
"Cakile edentula subsp. edentula","annual","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Cakile maritima","perennial","",""
"Cakile edentula subsp. harperi","annual","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Erucaria ollivieri","no_life_form_on_database","",""
"Erucaria cakiloidea","annual","",""
"Erucaria pinnata","annual","",""
"Erucaria erucarioides","no_life_form_on_database","",""
"Didesmus aegyptius","annual","",""
"Didesmus bipinnatus","annual","",""
"Erucaria microcarpa","annual","",""
"Pseuderucaria teretifolia","annual","",""
"Eremophyton chevallieri","annual","",""
"Erucaria hispanica","annual","",""
"Zilla spinosa subsp. spinosa","perennial","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Zilla macroptera","perennial","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Foleyola billotii","no_life_form_on_database","",""
"Physorhynchus chamaerapistrum","perennial","",""
"Douepea tortuosa","perennial","",""
"Fortuynia garcinii","perennial","",""
"Schouwia purpurea","annual","",""
"Ammosperma cinerea","no_life_form_on_database","",""
"Erucastrum elatum","no_life_form_on_database","",""
"Eruca vesicaria var. sativa","no_life_form_on_database","",""
"Eruca vesicaria","annual","",""
"Moricandia foleyi","no_life_form_on_database","",""
"Eruca pinnatifida","annual","",""
"Diplotaxis griffithii","annual","",""
"Diplotaxis acris","annual","",""
"Diplotaxis tenuifolia subsp. cretacea","no_life_form_on_database","",""
"Diplotaxis simplex","annual","",""
"Diplotaxis tenuifolia","perennial","",""
"Brassica gravinae","perennial","",""
"Brassica desnottesii","perennial","",""
"Brassica repanda","perennial","",""
"Diplotaxis muralis","annual","",""
"Diplotaxis viminea","annual","",""
"Brassica elongata var. integrifolia","annual","",""
"Diplotaxis antoniensis","perennial","",""
"Diplotaxis harra","perennial","",""
"Diplotaxis sundingii","perennial","",""
"Diplotaxis gorgadensis","perennial","",""
"Diplotaxis hirta","perennial","",""
"Diplotaxis gracilis","perennial","",""
"Diplotaxis varia","perennial","",""
"Nasturtiopsis coronopifolia","annual","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Fezia pterocarpa","annual","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Savignya parviflora subsp. parviflora","annual","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Henophyton deserti","perennial","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Psychine stylosa","annual","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Muricaria prostrata","annual","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Vella mairei","perennial","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Vella anremerica","perennial","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Vella aspera","perennial","",""
"Vella pseudocytisus subsp. glabrata","perennial","",""
"Vella lucentina","perennial","",""
"Vella castrilensis","perennial","http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm","manually_curated"
"Vella bourgaeana","perennial","",""
"Vella spinosa","perennial","",""
"Carrichtera annua","annual","",""
"Succowia balearica","annual","",""
"Orychophragmus violaceus","annual","",""
"Orychophragmus diffusus","annual","",""
"Orychophragmus ziguiensis","annual","",""
"Orychophragmus hupehensis","annual","",""
"Orychophragmus taibaiensis","annual","",""
"Sinalliaria limprichtiana","annual","",""
