"species","life_form","source","notes_1","notes_2","X"
"Croton louvelii","perennial","https://doi.org/10.1093/botlinnean/box004","manually_curated","""tree or shrub""",""
"Croton bracteatus","perennial","","","",""
"Croton chrysodaphne","perennial","","","",""
"Croton noronhae","perennial","","","",""
"Croton crocodilorum","perennial","","","",""
"Croton bojerianus","perennial","","","",""
"Croton manampetsae","perennial","","","",""
"Croton mongue","perennial","","","",""
"Croton oreades","no_life_form_on_database","","","",""
"Croton goudotii","perennial","","","",""
"Croton heteranthus","perennial","","","",""
"Croton vernicosus","perennial","https://doi.org/10.1093/botlinnean/box004","manually_curated","""tree or shrub""",""
"Croton trichotomus","perennial","","","",""
"Croton boiteaui","perennial","","","",""
"Croton miarensis","perennial","","","",""
"Croton nobilis","perennial","","","",""
"Croton gratissimus","perennial","","","",""
"Croton zambesicus","perennial","Okokon, J. E., & Nwafor, P. A. (2010). Antiinflammatory, analgesic and antipyretic activities of ethanolic root extract of Croton zambesicus. Pak J Pharm Sci, 23(4), 385-392.","manually_curated","""tree""",""
"Croton socotranus","perennial","","","",""
"Croton roxanae","perennial","","","",""
"Croton suberosus","perennial","","","",""
"Croton torreyanus","no_life_form_on_database","","","",""
"Croton virletianus","perennial","","","",""
"Croton morifolius","perennial","","","",""
"Croton ehrenbergii","perennial","","","",""
"Croton hypoleucus","perennial","","","",""
"Croton yecorensis","perennial","","","",""
"Croton suyapensis","no_life_form_on_database","","","",""
"Croton vitifolius","no_life_form_on_database","","","",""
"Croton francoanus","perennial","","","",""
"Croton limnocharis","no_life_form_on_database","","","",""
"Croton lasiopetaloides","no_life_form_on_database","","","",""
"Croton magdalenae","perennial","","","",""
"Croton disjunctus","perennial","","","",""
"Croton heterochrous","perennial","","","",""
"Croton payaquensis","perennial","","","",""
"Croton adspersus","perennial","","","",""
"Croton websteri","perennial","","","",""
"Croton ynesae","perennial","","","",""
"Croton stipulaceus","perennial","","","",""
"Croton michaelii","perennial","","","",""
"Croton suaveolens","perennial","","","",""
"Croton adenophyllum","no_life_form_on_database","","","",""
"Croton humilis","perennial","","","",""
"Croton pulcher","perennial","","","",""
"Croton soliman","perennial","","","",""
"Croton ciliatoglandulifer","perennial","","","",""
"Croton chichenensis","perennial","","manually_curated","""shrub""",""
"Croton fruticulosus","perennial","","","",""
"Croton caboensis","perennial","","","",""
"Croton sonorae","perennial","","","",""
"Croton peraeruginosus","perennial","","","",""
"Croton abutiloides","perennial","","","",""
"Croton xalapensis","perennial","","","",""
"Croton aequatoris","perennial","","","",""
"Croton pungens","perennial","","","",""
"Croton ruizianus","perennial","","","",""
"Croton chilensis","perennial","","","",""
"Croton lachnostachyus","perennial","","","",""
"Croton saltensis","perennial","","","",""
"Croton soratensis","no_life_form_on_database","","","",""
"Croton gracilipes","perennial","","","",""
"Croton elegans","perennial","","manually_curated","""shrub""",""
"Croton peltoideus","no_life_form_on_database","","","",""
"Croton leptostachyus","perennial","","","",""
"Croton bonplandianus","perennial","","","",""
"Croton curiosus","perennial","","","",""
"Croton flavens","perennial","","","",""
"Croton impressus","perennial","","","",""
"Croton wilsonii","no_life_form_on_database","","","",""
"Croton craspedotrichus","perennial","","","",""
"Croton nephrophyllus","no_life_form_on_database","","","",""
"Croton discolor","perennial","","","",""
"Croton linearis","perennial","","","",""
"Croton emporiorum","perennial","","","",""
"Croton lanatus var. tatacuensis","perennial","","","",""
"Croton conduplicatus","perennial","","","",""
"Croton heliotropiifolius","perennial","","","",""
"Croton echioides","perennial","","manually_curated","""muira puama""","tree"
"Croton laceratoglandulosus","perennial","https://doi.org/10.1111/j.1095-8339.2008.00844.x","shrub","",""
"Croton draco","perennial","","","",""
"Croton hibiscifolius","perennial","","","",""
"Croton gossypiifolius","perennial","","","",""
"Croton redolens","perennial","","","",""
"Croton speciosus","perennial","","","",""
"Croton draconoides","perennial","","","",""
"Croton floccosus","perennial","","manually_curated","tree",""
"Croton alchorneicarpus","perennial","","","",""
"Croton celtidifolius","perennial","","","",""
"Croton lagoensis","perennial","","","",""
"Croton macrobothrys","perennial","","","",""
"Croton echinocarpus","perennial","Flora do Brasil","manually_curated","""arvore""",""
"Croton lechleri","perennial","","","",""
"Croton urucurana","perennial","","","",""
"Croton perspeciosus","perennial","","","",""
"Croton piluliferus","no_life_form_on_database","","","",""
"Croton jimenezii","perennial","","","",""
"Croton coriaceus","perennial","","","",""
"Croton rimbachii","perennial","","","",""
"Croton huberi","perennial","","","",""
"Croton purdiei","perennial","","","",""
"Croton magdalenensis","perennial","","""arboles de drago""","",""
"Croton lundellii","perennial","Journal of Vegetation Science 15: 151-160, 2004","manually_curated","""woody species""",""
"Croton oerstedianus","perennial","","","",""
"Croton corylifolius","perennial","","","",""
"Croton beetlei","perennial","","","",""
"Croton caracasanus","perennial","","","",""
"Croton tonduzii","perennial","","","",""
"Croton grewiifolius","perennial","","","",""
"Croton verapazensis","perennial","","","",""
"Croton corinthius","perennial","","","",""
"Croton nubigenus","perennial","","","",""
"Croton mexicanus","perennial","","","",""
"Croton quercetorum","perennial","","","",""
"Croton alabamensis var. alabamensis","perennial","","","",""
"Croton alabamensis var. texensis","perennial","","","",""
"Croton ekmanii","perennial","","","",""
"Croton leonis","perennial","","","",""
"Croton trigonocarpus","perennial","","","",""
"Croton maestrensis","perennial","","","",""
"Croton olivaceus","perennial","","","",""
"Croton alainii","perennial","","","",""
"Croton poecilanthus","perennial","","","",""
"Croton piptocalyx","perennial","","","",""
"Croton sampatik","perennial","","","",""
"Croton ater","perennial","","","",""
"Croton sapiifolius","perennial","","","",""
"Croton megistocarpus","perennial","","","",""
"Croton pachypodus","perennial","","","",""
