"","species","life_form"
"126","Vulpia_microstachys","no_life_form_on_database"
"127","Vulpia_octoflora","no_life_form_on_database"
"128","Festuca_elegans","perennial"
"129","Festuca_hintoniana","perennial"
"130","Festuca_californica","perennial"
"131","Festuca_ligulata","perennial"
"132","Festuca_thurberi","perennial"
"133","Festuca_subuliflora","perennial"
"134","Festuca_scabriculmis","perennial"
"135","Festuca_dimorpha","perennial"
"136","Festuca_carpatica","annual"
"137","Festuca_quadriflora","perennial"
"138","Festuca_gautieri","perennial"
"139","Festuca_eskia","perennial"
"140","Festuca_burnatii","perennial"
"141","Festuca_parvigluma","perennial"
"142","Festuca_extremiorientalis","perennial"
"143","Festuca_subulata","perennial"
"144","Festuca_altaica","perennial"
"145","Castellia_tuberculosa","annual"
"146","Lolium_remotum","annual"
"147","Lolium_temulentum","annual"
"148","Lolium_persicum","annual"
"149","Lolium_canariense","annual"
"150","Lolium_rigidum","annual"
"151","Lolium_perenne","annual"
"152","Lolium_multiflorum","annual"
"153","Festuca_simensis","perennial"
"154","Festuca_fontqueri","no_life_form_on_database"
"155","Festuca_pratensis","no_life_form_on_database"
"156","Festuca_gigantea","no_life_form_on_database"
"157","Micropyropsis_tuberosa","no_life_form_on_database"
"158","Festuca_arundinacea","no_life_form_on_database"
"159","Festuca_marginata","perennial"
"160","Festuca_mairei","no_life_form_on_database"
"161","Festuca_durandoi","no_life_form_on_database"
"162","Festuca_paniculata","no_life_form_on_database"
"163","Festuca_amplissima","perennial"
"164","Festuca_argentina","perennial"
"165","Festuca_dichoclada","perennial"
"166","Festuca_breviglumis","perennial"
"167","Festuca_modesta","perennial"
"168","Festuca_kingii","perennial"
"169","Festuca_spectabilis","perennial"
"170","Festuca_pulchella","perennial"
"171","Festuca_pseudeskia","perennial"
"172","Festuca_scariosa","perennial"
"173","Festuca_altissima","annual"
"174","Festuca_donax","perennial"
"175","Festuca_drymeja","annual"
"176","Festuca_coerulescens","no_life_form_on_database"
"177","Festuca_triflora","no_life_form_on_database"
"178","Cutandia_maritima","annual"
"179","Catapodium_marinum","annual"
"180","Cutandia_memphitica","annual"
"181","Desmazeria_sicula","annual"
"182","Hainardia_cylindrica","no_life_form_on_database"
"183","Parapholis_incurva","annual"
"184","Catapodium_rigidum","annual"
"185","Sphenopus_divaricatus","annual"
"186","Cynosurus_cristatus","perennial"
"187","Cynosurus_echinatus","annual"
"188","Dactylis_glomerata","perennial"
"189","Lamarckia_aurea","annual"
"190","Antinoria_agrostidea","annual"
"191","Deschampsia_kingii","perennial"
"192","Deschampsia_laxa","perennial"
"193","Deschampsia_cespitosa","perennial"
"194","Deschampsia_berteroana","no_life_form_on_database"
"195","Deschampsia_setacea","perennial"
"196","Deschampsia_chapmanii","perennial"
"197","Deschampsia_tenella","perennial"
"198","Deschampsia_elongata","perennial"
"199","Deschampsia_foliosa","no_life_form_on_database"
"200","Deschampsia_antarctica","perennial"
"201","Deschampsia_venustula","perennial"
"202","Deschampsia_parvula","perennial"
"203","Deschampsia_mejlandii","perennial"
"204","Deschampsia_christophersenii","perennial"
"205","Helictotrichon_requienii","no_life_form_on_database"
"206","Deschampsia_klossii","perennial"
"207","Deschampsia_patula","perennial"
"208","Deschampsia_nubigena","perennial"
"209","Helictotrichon_aetolicum","no_life_form_on_database"
"210","Helictochloa_pratensis","perennial"
"211","Helictotrichon_hackelii","no_life_form_on_database"
"212","Helictotrichon_cincinnatum","no_life_form_on_database"
"213","Helictotrichon_versicolor","no_life_form_on_database"
"214","Helictotrichon_hookeri","no_life_form_on_database"
"215","Helictotrichon_compressum","no_life_form_on_database"
"216","Helictotrichon_bromoides","no_life_form_on_database"
"217","Ammochloa_palaestina","annual"
"218","Helictotrichon_albinerve","no_life_form_on_database"
"219","Helictotrichon_marginatum","no_life_form_on_database"
"220","Helictotrichon_pratense","no_life_form_on_database"
"221","Helictochloa_armeniaca","perennial"
"222","Helictotrichon_leve","no_life_form_on_database"
"223","Periballia_laevis","no_life_form_on_database"
"224","Sesleria_argentea","perennial"
"225","Sesleria_insularis","perennial"
"226","Sesleria_caerulea","perennial"
"227","Sesleria_ovata","no_life_form_on_database"
"228","Helictochloa_blaui","perennial"
"229","Sesleria_tenerrima","perennial"
"230","Mibora_minima","annual"
"231","Oreochloa_disticha","perennial"
"232","Echinaria_capitata","annual"
"233","Dryopoa_dives","perennial"
"234","Scolochloa_festucacea","perennial"
"235","Holcus_gayanus","annual"
"236","Holcus_rigidus","perennial"
"237","Holcus_mollis","perennial"
"238","Holcus_azoricus","perennial"
"239","Holcus_annuus","annual"
"240","Holcus_lanatus","perennial"
"241","Deschampsia_atropurpurea","no_life_form_on_database"
"242","Poa_amplexicaulis","perennial"
"243","Poa_clelandii","perennial"
"244","Poa_fordeana","perennial"
"245","Poa_drummondiana","perennial"
"246","Poa_cita","perennial"
"247","Poa_meionectes","perennial"
"248","Poa_sieberiana","perennial"
"249","Poa_chathamica","perennial"
"250","Poa_litorosa","perennial"
"251","Poa_cockayneana","perennial"
"252","Poa_orthoclada","perennial"
"253","Austrofestuca_littoralis","no_life_form_on_database"
"254","Austrofestuca_triticoides","no_life_form_on_database"
"255","Poa_orba","perennial"
"256","Poa_porphyroclados","perennial"
"257","Poa_ensiformis","perennial"
"258","Poa_homomalla","perennial"
"259","Poa_fawcettiae","perennial"
"260","Poa_intrusa","perennial"
"261","Poa_sallacustris","perennial"
"262","Poa_phillipsiana","perennial"
"263","Poa_costiniana","perennial"
"264","Poa_keysseri","perennial"
"265","Poa_affinis","perennial"
"266","Poa_hiemata","perennial"
"267","Poa_anceps","perennial"
"268","Neuropoa_fax","no_life_form_on_database"
"269","Poa_labillardierei","perennial"
"270","Poa_lowanensis","perennial"
"271","Poa_cheelii","perennial"
"272","Poa_poiformis","perennial"
"273","Poa_hookeri","perennial"
"274","Poa_helmsii","perennial"
"275","Poa_paucispicula","perennial"
"276","Poa_cusickii","perennial"
"277","Poa_macrantha","perennial"
"278","Poa_tianschanica","perennial"
"279","Poa_nervosa","perennial"
"280","Poa_wheeleri","perennial"
"281","Poa_fendleriana","perennial"
"282","Poa_porsildii","no_life_form_on_database"
"283","Poa_acroleuca","annual"
"284","Poa_kurtzii","perennial"
"285","Dissanthelium_peruvianum","no_life_form_on_database"
"286","Poa_howellii","annual"
"287","Poa_bradei","perennial"
"288","Poa_reflexa","annual"
"289","Poa_arachnifera","perennial"
"290","Poa_holciformis","perennial"
"291","Poa_stuckertii","perennial"
"292","Poa_scaberula","annual"
"293","Poa_atropidiformis","perennial"
"294","Poa_laetevirens","perennial"
"295","Anthochloa_lepidula","no_life_form_on_database"
"296","Poa_gymnantha","perennial"
"297","Poa_lindebergii","perennial"
"298","Poa_iridifolia","perennial"
"299","Poa_chaixii","perennial"
"300","Poa_acinaciphylla","perennial"
"301","Poa_polycolea","perennial"
"302","Poa_hybrida","perennial"
"303","Poa_longifolia","perennial"
"304","Poa_sudicola","perennial"
"305","Poa_dipsacea","perennial"
"306","Poa_subvestita","perennial"
"307","Poa_foliosa","perennial"
"308","Poa_exigua","perennial"
"309","Poa_novae-zelandiae","perennial"
"310","Poa_spania","perennial"
"311","Poa_breviglumis","perennial"
"312","Poa_lindsayi","perennial"
"313","Festuca_sibirica","perennial"
"314","Poa_acicularifolia","perennial"
"315","Poa_imbecilla","perennial"
"316","Poa_colensoi","perennial"
"317","Poa_astonii","perennial"
"318","Poa_hesperia","perennial"
"319","Poa_xenica","perennial"
"320","Poa_smirnowii","perennial"
"321","Poa_arctica","perennial"
"322","Poa_iberica","perennial"
"323","Poa_macrocalyx","perennial"
"324","Poa_granitica","perennial"
"325","Poa_kamczatensis","perennial"
"326","Poa_platyantha","perennial"
"327","Dissanthelium_brevifolium","no_life_form_on_database"
"328","Dissanthelium_calycinum","no_life_form_on_database"
"329","Poa_pratensis","perennial"
"330","Aphanelytrum_peruvianum","no_life_form_on_database"
"331","Aphanelytrum_procumbens","no_life_form_on_database"
"332","Colpodium_lanatiflorum","no_life_form_on_database"
"333","Poa_ircutica","no_life_form_on_database"
"334","Poa_stiriaca","perennial"
"335","Poa_sibirica","perennial"
"336","Poa_remota","perennial"
"337","Poa_lettermanii","perennial"
"338","Poa_pseudoabbreviata","perennial"
"339","Poa_leptocoma","perennial"
"340","Poa_flexuosa","perennial"
"341","Poa_attenuata","perennial"
"342","Poa_laxa","perennial"
"343","Poa_interior","perennial"
"344","Poa_glauca","perennial"
"345","Poa_pannonica","perennial"
"346","Poa_urssulensis","perennial"
"347","Poa_palustris","perennial"
"348","Agrostis_canina","perennial"
"349","Poa_nemoralis","perennial"
"350","Poa_compressa","perennial"
"351","Poa_stenantha","perennial"
"352","Poa_hartzii_subsp._hartzii","no_life_form_on_database"
"353","Poa_secunda","perennial"
"354","Poa_ammophila","no_life_form_on_database"
"355","Poa_curtifolia","perennial"
"356","Poa_versicolor","perennial"
"357","Poa_arida","perennial"
"358","Poa_hisauchii","annual"
"359","Poa_trivialis","perennial"
"360","Poa_sinaica","perennial"
"361","Poa_pirinica","no_life_form_on_database"
"362","Poa_cenisia","perennial"
"363","Poa_trichophylla","perennial"
"364","Poa_veresczaginii","perennial"
"365","Poa_abbreviata","perennial"
"366","Poa_densa","perennial"
"367","Eremopoa_altaica","no_life_form_on_database"
"368","Poa_pumila","perennial"
"369","Poa_badensis","perennial"
"370","Poa_alpina","perennial"
"371","Poa_bulbosa","perennial"
"372","Poa_ligulata","perennial"
"373","Colpodium_ponticum","no_life_form_on_database"
"374","Poa_cookii","perennial"
"375","Poa_ramosissima","perennial"
"376","Poa_pungionifolia","no_life_form_on_database"
"377","Festuca_kerguelensis","no_life_form_on_database"
"378","Poa_flabellata","perennial"
"379","Poa_annua","annual"
"380","Poa_infirma","annual"
"381","Poa_supina","annual"
"382","Poa_wolfii","perennial"
"383","Poa_saltuensis","perennial"
"384","Poa_marcida","perennial"
"385","Poa_alsodes","perennial"
"386","Poa_sylvestris","perennial"
"387","Poa_autumnalis","perennial"
"388","Poa_kelloggii","perennial"
"389","Phleum_alpinum","perennial"
"390","Puccinellia_glaucescens","perennial"
"391","Phleum_pratense","perennial"
"392","Phleum_phleoides","perennial"
"393","Milium_effusum","perennial"
"394","Milium_vernale","annual"
"395","Alopecurus_geniculatus","annual"
"396","Alopecurus_magellanicus","perennial"
"397","Alopecurus_aequalis","annual"
"398","Alopecurus_pratensis","perennial"
"399","Alopecurus_japonicus","annual"
"400","Alopecurus_textilis","perennial"
"401","Alopecurus_myosuroides","annual"
"402","Poa_violacea_var._aetnensis","no_life_form_on_database"
"403","Poa_variegata","no_life_form_on_database"
"404","Poa_polychroa","no_life_form_on_database"
"405","Apera_interrupta","annual"
"406","Apera_spica-venti","annual"
"407","Ventenata_macra","annual"
"408","Ventenata_dubia","annual"
"409","Poa_chonotica","no_life_form_on_database"
"410","Poa_robusta","no_life_form_on_database"
"411","Poa_andina","no_life_form_on_database"
"412","Sylvipoa_queenslandica","perennial"
"413","Arctagrostis_latifolia","perennial"
"414","Poa_subenervis","no_life_form_on_database"
"415","Austrofestuca_eriopoda","no_life_form_on_database"
"416","Austrofestuca_hookeriana","no_life_form_on_database"
"417","Saxipoa_saxicola","perennial"
"418","Beckmannia_syzigachne","annual"
"419","Cyathopus_sikkimensis","perennial"
"420","Aniselytron_treutleri","perennial"
"421","Poa_tibetica","no_life_form_on_database"
"422","Poa_eminens","no_life_form_on_database"
"423","Poa_subfastigiata","no_life_form_on_database"
"424","Poa_schischkinii","no_life_form_on_database"
"425","Cinna_arundinacea","perennial"
"426","Cinna_latifolia","perennial"
"427","Simplicia_buchananii","perennial"
"428","Simplicia_laxa","perennial"
"429","Alopecurus_vaginatus","perennial"
"430","Alopecurus_gerardii","perennial"
"431","Arctophila_fulva","no_life_form_on_database"
"432","Dupontia_fisheri","perennial"
"433","Helictotrichon_pubescens","no_life_form_on_database"
"434","Puccinellia_distans","annual"
"435","Puccinellia_nuttalliana","perennial"
"436","Puccinellia_fasciculata","perennial"
"437","Puccinellia_phryganodes","perennial"
"438","Sclerochloa_dura","annual"
"439","Puccinellia_nutkaensis","perennial"
"440","Puccinellia_bruggemannii","perennial"
"441","Puccinellia_banksiensis","perennial"
"442","Puccinellia_parishii","annual"
"443","Puccinellia_vaginata","perennial"
"444","Puccinellia_arctica","perennial"
"445","Puccinellia_andersonii","perennial"
"446","Puccinellia_stricta","annual"
"447","Puccinellia_walkeri","perennial"
"448","Puccinellia_vahliana","perennial"
"449","Puccinellia_tenella","perennial"
"450","Puccinellia_pumila","perennial"
"451","Catabrosa_werdermannii","perennial"
"452","Catabrosa_aquatica","perennial"
"453","Puccinellia_angustata","perennial"
"454","Puccinellia_lemmonii","perennial"
"455","Colpodium_variegatum","no_life_form_on_database"
"456","Puccinellia_wrightii","perennial"
"457","Colpodium_altaicum","no_life_form_on_database"
"458","Phippsia_algida","perennial"
"459","Phippsia_concinna","perennial"
"460","Zingeria_biebersteiniana","no_life_form_on_database"
"461","Zingeria_trichopoda","no_life_form_on_database"
"462","Zingeria_kochii","no_life_form_on_database"
"463","Zingeria_pisidica","no_life_form_on_database"
"464","Colpodium_versicolor","perennial"
"465","Colpodium_araraticum","no_life_form_on_database"
"466","Aira_caryophyllea","annual"
"467","Aira_cupaniana","annual"
"468","Aira_praecox","annual"
"469","Periballia_involucrata","annual"
"470","Deschampsia_maderensis","no_life_form_on_database"
"471","Deschampsia_flexuosa","no_life_form_on_database"
"472","Agrostis_leptostachys","no_life_form_on_database"
"473","Agrostis_mertensii","perennial"
"474","Agrostis_exarata","perennial"
"475","Agrostis_personata","perennial"
"476","Agrostis_idahoensis","perennial"
"477","Agrostis_pallescens","perennial"
"478","Agrostis_petriei","perennial"
"479","Agrostis_clavata","annual"
"480","Agrostis_pallens","perennial"
"481","Agrostis_muelleriana","annual"
"482","Agrostis_vinealis","perennial"
"483","Agrostis_imbecilla","perennial"
"484","Agrostis_gracililaxa","perennial"
"485","Agrostis_botelhoi","no_life_form_on_database"
"486","Agrostis_hyemalis","perennial"
"487","Agrostis_congestiflora","perennial"
"488","Agrostis_muscosa","perennial"
"489","Agrostis_stolonifera","perennial"
"490","Agrostis_scabra","perennial"
"491","Chaetopogon_fasciculatus","no_life_form_on_database"
"492","Agrostis_capillaris","perennial"
"493","Agrostis_castellana","perennial"
"494","Polypogon_magellanicus","perennial"
"495","Agrostis_gigantea","perennial"
"496","Agrostis_imberbis","perennial"
"497","Agrostis_meyenii","perennial"
"498","Agropogon_lutosus","no_life_form_on_database"
"499","Polypogon_fugax","annual"
"500","Polypogon_monspeliensis","annual"
"501","Polypogon_viridis","annual"
"502","Polypogon_maritimus","annual"
"503","Calamagrostis_inexpansa","perennial"
"504","Polypogon_australis","perennial"
"505","Agrostis_avenacea","no_life_form_on_database"
"506","Agrostis_billardierei","no_life_form_on_database"
"507","Calamagrostis_rubescens","perennial"
"508","Calamagrostis_pickeringii","perennial"
"509","Calamagrostis_cainii","perennial"
"510","Calamagrostis_perplexa","perennial"
"511","Ammophila_champlainensis","no_life_form_on_database"
"512","Agrostis_tenerrima","annual"
"513","Calamagrostis_howellii","perennial"
"514","Calamagrostis_holmii","perennial"
"515","Calamagrostis_scopulorum","perennial"
"516","Calamagrostis_purpurascens","perennial"
"517","Agrostis_thurberiana","no_life_form_on_database"
"518","Gastridium_ventricosum","annual"
"519","Triplachne_nitens","annual"
"520","Calamagrostis_angustifolia","perennial"
"521","Calamagrostis_stricta","perennial"
"522","Calamagrostis_villosa","perennial"
"523","Calamagrostis_lapponica","perennial"
"524","Calamagrostis_deschampsioides","perennial"
"525","Calamagrostis_canadensis","perennial"
"526","Calamagrostis_arundinacea","perennial"
"527","Airopsis_tenella","annual"
"528","Calamagrostis_anthoxanthoides","perennial"
"529","Calamagrostis_purpurea","perennial"
"530","Calamagrostis_epigeios","no_life_form_on_database"
"531","Calamagrostis_pseudophragmites","perennial"
"532","Calamagrostis_emodensis","perennial"
"533","Ammophila_arenaria","no_life_form_on_database"
"534","Ammophila_breviligulata","no_life_form_on_database"
"535","Calamagrostis_acutiflora","perennial"
"536","Calamagrostis_muiriana","perennial"
"537","Calamagrostis_breweri","perennial"
"538","Briza_subaristata","no_life_form_on_database"
"539","Briza_paleapilifera","no_life_form_on_database"
"540","Briza_erecta","no_life_form_on_database"
"541","Briza_lamarckiana","no_life_form_on_database"
"542","Rhombolytrum_monandrum","no_life_form_on_database"
"543","Briza_scabra","no_life_form_on_database"
"544","Briza_parodiana","no_life_form_on_database"
"545","Briza_juergensii","no_life_form_on_database"
"546","Briza_brasiliensis","no_life_form_on_database"
"547","Briza_ambigua","no_life_form_on_database"
"548","Briza_uniolae","no_life_form_on_database"
"549","Briza_calotheca","no_life_form_on_database"
"550","Briza_itatiaiae","no_life_form_on_database"
"551","Briza_brizoides","no_life_form_on_database"
"552","Erianthecium_bulbosum","no_life_form_on_database"
"553","Briza_monandra","no_life_form_on_database"
"554","Briza_rufa","no_life_form_on_database"
"555","Briza_poimorpha","no_life_form_on_database"
"556","Briza_brachychaete","no_life_form_on_database"
"557","Dichelachne_crinita","perennial"
"558","Dichelachne_micrantha","perennial"
"559","Echinopogon_ovatus","perennial"
"560","Echinopogon_caespitosus","perennial"
"561","Dichelachne_lautumia","perennial"
"562","Dichelachne_inaequiglumis","perennial"
"563","Dichelachne_rara","perennial"
"564","Briza_maxima","annual"
"565","Agrostis_durieui","no_life_form_on_database"
"566","Briza_minor","annual"
"567","Briza_media","perennial"
"568","Phalaris_coerulescens","perennial"
"569","Phalaris_paradoxa","annual"
"570","Phalaris_maderensis","annual"
"571","Phalaris_minor","annual"
"572","Phalaris_lindigii","perennial"
"573","Phalaris_aquatica","perennial"
"574","Phalaris_canariensis","annual"
"575","Phalaris_amethystina","annual"
"576","Phalaris_platensis","annual"
"577","Phalaris_lemmonii","annual"
"578","Phalaris_angusta","annual"
"579","Phalaris_caroliniana","annual"
"580","Phalaris_californica","annual"
"581","Phalaris_brachystachys","annual"
"582","Phalaris_truncata","perennial"
"583","Phalaris_arundinacea","perennial"
"584","Helictotrichon_scabrivalve","no_life_form_on_database"
"585","Torreyochloa_pallida","perennial"
"586","Koeleria_macrantha","annual"
"587","Koeleria_vallesiana","perennial"
"588","Koeleria_capensis","perennial"
"589","Koeleria_asiatica","perennial"
"590","Koeleria_loweana","perennial"
"591","Koeleria_pyramidata","perennial"
"592","Koeleria_lobata","no_life_form_on_database"
"593","Koeleria_caudata","perennial"
"594","Trisetum_hispidum","perennial"
"595","Rostraria_obtusiflora","annual"
"596","Trisetaria_ovata","annual"
"597","Rostraria_hispida","annual"
"598","Trisetum_loeflingianum","no_life_form_on_database"
"599","Trisetaria_dufourei","annual"
"600","Gaudinia_coarctata","annual"
"601","Gaudinia_fragilis","annual"
"602","Trisetaria_panicea","annual"
"603","Gaudinia_hispanica","annual"
"604","Trisetum_spicatum","perennial"
"605","Trisetum_youngii","perennial"
"606","Trisetum_drucei","no_life_form_on_database"
"607","Koeleria_digorica","no_life_form_on_database"
"608","Trisetum_tenellum","perennial"
"609","Rostraria_salzmannii","annual"
"610","Rostraria_pumila","annual"
"611","Trisetum_flavescens","perennial"
"612","Trisetum_turcicum","no_life_form_on_database"
"613","Trisetum_gracile","perennial"
"614","Trisetum_glaciale","perennial"
"615","Trisetum_baregense","no_life_form_on_database"
"616","Graphephorum_wolfii","perennial"
"617","Helictotrichon_canescens","no_life_form_on_database"
"618","Trisetum_bifidum","no_life_form_on_database"
"619","Trisetum_sibiricum","no_life_form_on_database"
"620","Trisetum_viride","no_life_form_on_database"
"621","Calamagrostis_pringlei","no_life_form_on_database"
"622","Calamagrostis_minima","no_life_form_on_database"
"623","Calamagrostis_coahuilensis","no_life_form_on_database"
"624","Calamagrostis_eriantha","no_life_form_on_database"
"625","Calamagrostis_erectifolia","no_life_form_on_database"
"626","Calamagrostis_tolucensis","no_life_form_on_database"
"627","Peyritschia_pringlei","perennial"
"628","Calamagrostis_valida","no_life_form_on_database"
"629","Calamagrostis_divaricata","no_life_form_on_database"
"630","Peyritschia_deyeuxioides","perennial"
"631","Sphenopholis_intermedia","perennial"
"632","Calamagrostis_vulcanica","no_life_form_on_database"
"633","Vulpiella_stipoides","annual"
"634","Rostraria_cristata","annual"
"635","Rostraria_azorica","annual"
"636","Sphenopholis_obtusata","annual"
"637","Avena_strigosa","annual"
"638","Avena_brevis","annual"
"639","Avena_nuda","annual"
"640","Avena_abyssinica","annual"
"641","Avena_barbata","annual"
"642","Avena_vaviloviana","annual"
"643","Avena_maroccana","no_life_form_on_database"
"644","Avena_murphyi","annual"
"645","Avena_sativa","annual"
"646","Avena_sterilis","annual"
"647","Avena_longiglumis","annual"
"648","Avena_insularis","annual"
"649","Avena_fatua","annual"
"650","Avena_prostrata","annual"
"651","Avena_clauda","annual"
"652","Avena_eriantha","annual"
"653","Avena_ventricosa","annual"
"654","Helictotrichon_macrostachyum","perennial"
"655","Hierochloe_occidentalis","no_life_form_on_database"
"656","Helictotrichon_sempervirens","perennial"
"657","Helictotrichon_filifolium","perennial"
"658","Helictotrichon_convolutum","perennial"
"659","Helictotrichon_desertorum","perennial"
"660","Arrhenatherum_calderae","perennial"
"661","Helictotrichon_sarracenorum","perennial"
"662","Helictotrichon_cantabricum","perennial"
"663","Helictotrichon_setaceum_var._setaceum","no_life_form_on_database"
"664","Helictotrichon_sedenense","perennial"
"665","Helictotrichon_petzense","perennial"
"666","Helictotrichon_krischae","perennial"
"667","Arrhenatherum_longifolium","perennial"
"668","Helictotrichon_pruinosum","no_life_form_on_database"
"669","Helictotrichon_parlatorei","perennial"
"670","Helictotrichon_mortonianum","perennial"
"671","Arrhenatherum_palaestinum","perennial"
"672","Arrhenatherum_elatius","no_life_form_on_database"
"673","Arrhenatherum_album","perennial"
"674","Lagurus_ovatus","annual"
"675","Helictotrichon_jahandiezii","no_life_form_on_database"
"676","Hierochloe_fusca","no_life_form_on_database"
"677","Hierochloe_redolens","no_life_form_on_database"
"678","Hierochloe_alpina","no_life_form_on_database"
"679","Hierochloe_pauciflora","no_life_form_on_database"
"680","Anthoxanthum_amarum","perennial"
"681","Anthoxanthum_aristatum","annual"
"682","Anthoxanthum_odoratum","perennial"
"683","Hierochloe_novae-zelandiae","no_life_form_on_database"
"684","Hierochloe_equiseta","no_life_form_on_database"
"685","Corynephorus_canescens","perennial"
"686","Phalaris_peruviana","perennial"
"687","Hierochloe_brunonis","no_life_form_on_database"
"688","Hierochloe_odorata","no_life_form_on_database"
"689","Elymus_kaschgaricus","no_life_form_on_database"
"690","Triticum_sphaerococcum","no_life_form_on_database"
"691","Elymus_batalinii","no_life_form_on_database"
"692","Triticum_compactum","no_life_form_on_database"
"693","Elymus_alatavicus","no_life_form_on_database"
"694","Triticum_carthlicum","no_life_form_on_database"
