species,life_form,source,notes_1,notes_2
Linaria subandina,annual,,manually_curated,NA
Linaria texana,annual,"Richardson, A. (2021). Scrophulariaceae. In Plants of the Rio Grande Delta (pp. 239-243). University of Texas Press.",manually_curated,NA
Linaria armeniaca,annual,,,NA
Linaria chalepensis,annual,,,NA
Linaria pelisseriana,annual,,,NA
Linaria triornithophora,perennial,,,NA
Linaria clementei,perennial,,,NA
Linaria salzmannii,annual,,,NA
Linaria becerrae,annual,"Blanca, G., Cueto, M., & Fuentes, J. (2017). Linaria becerrae (Plantaginaceae), a new endemic species from the southern Spain, and remarks on what Linaria salzmannii is and is not. Phytotaxa, 298(3), 261-268.",manually_curated,NA
Linaria incarnata,annual,,,NA
Linaria algarviana,annual,,,NA
Linaria onubensis,annual,,,NA
Linaria spartea,no_life_form_on_database,,,NA
Linaria viscosa,annual,,,NA
Linaria imzica,annual,"García, F. G. (2004, December). Dos novedades de Marruecos: Linaria imzica Gómiz, sp. nov.(Scrophulariaceae): y Centaurea austromaroccana (Förther & Podlech): Gómiz, comb. & stat. nov.(Compositae). In Anales del Jardín Botánico de Madrid (Vol. 61, No. 2, pp. 205-208).",manually_curated,NA
Linaria weilleri,no_life_form_on_database,,,NA
Linaria gattefossei,no_life_form_on_database,,,NA
Linaria bordiana subsp. kralikiana,no_life_form_on_database,,,NA
Linaria tingitana,no_life_form_on_database,,,NA
Linaria galioides,no_life_form_on_database,,,NA
Linaria multicaulis subsp. aurasiaca,no_life_form_on_database,,,NA
Linaria pseudoviscosa,no_life_form_on_database,,,NA
Linaria multicaulis,no_life_form_on_database,,,NA
Linaria bordiana,annual,,,NA
Linaria iranica,annual,,,NA
Linaria tenuis,annual,,,NA
Linaria bipartita,annual,,,NA
Linaria multicaulis subsp. heterophylla,no_life_form_on_database,,,NA
Linaria maroccana,annual,,,NA
Linaria pinifolia,annual,https://www.calflora.org/app/taxon?crn=4898,manually_curated,NA
Linaria hellenica,annual,http://www.rjb.csic.es/snapdragons/Paginas/Especie.php?Cod=210&Especie=Linaria%20hellenica&Cod_Genero=14&Genero=Linaria,manually_curated,NA
Linaria pedunculata,annual,,,NA
Linaria gharbensis,annual,,,NA
Linaria mamorensis,no_life_form_on_database,,,NA
Linaria elegans,annual,,,NA
Linaria nigricans,annual,,,NA
Sairocarpus costatus,no_life_form_on_database,,,NA
Sairocarpus nuttallianus,annual,,,NA
Neogaerrhinum strictum,annual,,,NA
Sairocarpus watsonii,annual,,,NA
Gambelia juncea,perennial,,,NA
Gambelia speciosa,perennial,,,NA
Sairocarpus multiflorus,annual,,,NA
Sairocarpus virga,perennial,,,NA
Sairocarpus cornutus,annual,,,NA
Sairocarpus coulterianus,annual,,,NA
Sairocarpus elmeri,no_life_form_on_database,,,NA
Sairocarpus vexillocalyculatus,annual,,,NA
Sairocarpus breweri,no_life_form_on_database,,,NA
Sairocarpus subcordatus,annual,,,NA
Sairocarpus vexillocalyculatus subsp. intermedius,annual,,,NA
Howelliella ovata,annual,,,NA
Sairocarpus kingii,annual,,,NA
Mohavea breviflora,annual,,,NA
Mohavea confertiflora,annual,,,NA
Neogaerrhinum filipes,annual,,,NA
Misopates calycinum,annual,,,NA
Misopates chrysothales,no_life_form_on_database,,,NA
Misopates orontium,annual,,,NA
Misopates salvagense,no_life_form_on_database,,,NA
Misopates microcarpum,annual,,,NA
Acanthorrhinum ramosissimum,perennial,,,NA
Antirrhinum rothmaleri,perennial,,,NA
Antirrhinum lopesianum,no_life_form_on_database,,,NA
Antirrhinum latifolium,perennial,,,NA
Antirrhinum molle,perennial,,,NA
Antirrhinum sempervirens,perennial,,,NA
Antirrhinum linkianum,no_life_form_on_database,,,NA
Antirrhinum litigiosum,no_life_form_on_database,,,NA
Antirrhinum majus,perennial,,,NA
Antirrhinum cirrhigerum,perennial,,,NA
Antirrhinum tortuosum,perennial,,,NA
Antirrhinum graniticum,perennial,,,NA
Antirrhinum pertegasii,perennial,,,NA
Antirrhinum microphyllum,perennial,,,NA
Antirrhinum pulverulentum,perennial,,,NA
Antirrhinum onubense,no_life_form_on_database,,,NA
Antirrhinum grosii,perennial,,,NA
Antirrhinum meonanthum,perennial,,,NA
Antirrhinum siculum,perennial,,,NA
Antirrhinum australe,perennial,,,NA
Antirrhinum subbaeticum,no_life_form_on_database,,,NA
Antirrhinum valentinum,perennial,,,NA
Antirrhinum hispanicum,perennial,,,NA
Antirrhinum charidemi,perennial,,,NA
Antirrhinum mollissimum,no_life_form_on_database,,,NA
Antirrhinum controversum,perennial,,,NA
Chaenorhinum glareosum,perennial,,,NA
Chaenorhinum macropodum,perennial,,,NA
Chaenorhinum raveyi,annual,,,NA
Chaenorhinum reyesii,no_life_form_on_database,,,NA
Chaenorhinum grandiflorum,annual,,,NA
Chaenorhinum crassifolium,no_life_form_on_database,,,NA
Chaenorhinum rubrifolium,annual,,,NA
Chaenorhinum segoviense,no_life_form_on_database,,,NA
Chaenorhinum serpyllifolium,annual,,,NA
Chaenorhinum origanifolium,perennial,,,NA
Chaenorhinum exile,no_life_form_on_database,,,NA
Chaenorhinum flexuosum,perennial,,,NA
Chaenorhinum robustum,annual,,,NA
Chaenorhinum villosum,perennial,,,NA
Chaenorhinum formenterae,no_life_form_on_database,,,NA
Chaenorhinum johnstonii,annual,,,NA
Chaenorhinum spicatum,no_life_form_on_database,,,NA
Chaenorhinum tuberculatum,annual,,,NA
Albraunia foveopilosa,annual,,,NA
Chaenorhinum calycinum,annual,,,NA
Chaenorhinum litorale,annual,,,NA
Chaenorhinum minus,annual,,,NA
Chaenorhinum tenellum,perennial,,,NA
Chaenorhinum cryptarum,annual,,,NA
Chaenorhinum litorale subsp. pterosporum,annual,,,NA
Galvezia leucantha,no_life_form_on_database,,,NA
Galvezia leucantha subsp. pubescens,no_life_form_on_database,,,NA
Galvezia leucantha subsp. porphyrantha,no_life_form_on_database,,,NA
Galvezia ballii,no_life_form_on_database,,,NA
Galvezia lanceolata,perennial,,,NA
Galvezia elisensii,no_life_form_on_database,,,NA
Galvezia fruticosa,perennial,,,NA
Pseudorontium cyathiferum,annual,,,NA
Schweinfurthia imbricata,annual,,,NA
Schweinfurthia papilionacea,annual,,,NA
Schweinfurthia latifolia,no_life_form_on_database,,,NA
Schweinfurthia spinosa,no_life_form_on_database,,,NA
Schweinfurthia pedicellata,annual,,,NA
Schweinfurthia pterosperma,annual,,,NA
Cymbalaria glutinosa,perennial,,,NA
Cymbalaria glutinosa subsp. brevicalcarata,perennial,,,NA
Cymbalaria muralis,perennial,,,NA
Cymbalaria muralis f. visianii,perennial,"Carnicero, P., Sáez, L., Garcia-Jacas, N., & Galbany-Casals, M. (2017). Different speciation types meet in a Mediterranean genus: the biogeographic history of Cymbalaria (Plantaginaceae). Taxon, 66(2), 393-407.",manually_curated,NA
Cymbalaria pallida,perennial,,,NA
Cymbalaria microcalyx subsp. ebelii,no_life_form_on_database,"Carnicero, P., Sáez, L., Garcia-Jacas, N., & Galbany-Casals, M. (2017). Different speciation types meet in a Mediterranean genus: the biogeographic history of Cymbalaria (Plantaginaceae). Taxon, 66(2), 393-407.",manually_curated,NA
Cymbalaria microcalyx subsp. acutiloba,no_life_form_on_database,"Carnicero, P., Sáez, L., Garcia-Jacas, N., & Galbany-Casals, M. (2017). Different speciation types meet in a Mediterranean genus: the biogeographic history of Cymbalaria (Plantaginaceae). Taxon, 66(2), 393-407.",manually_curated,NA
Cymbalaria pubescens,perennial,,,NA
Cymbalaria longipes,perennial,,,NA
Cymbalaria microcalyx subsp. minor,no_life_form_on_database,"Carnicero, P., Sáez, L., Garcia-Jacas, N., & Galbany-Casals, M. (2017). Different speciation types meet in a Mediterranean genus: the biogeographic history of Cymbalaria (Plantaginaceae). Taxon, 66(2), 393-407.",manually_curated,NA
Cymbalaria fragilis,perennial,,,NA
Cymbalaria muelleri,perennial,,,NA
Cymbalaria aequitriloba,perennial,,,NA
Cymbalaria hepaticifolia,perennial,,,NA
Cymbalaria microcalyx,perennial,,,NA
Gadoria falukei,no_life_form_on_database,,,NA
Asarina procumbens,perennial,,,NA
Mabrya acerifolia,perennial,,,NA
Mabrya geniculata,no_life_form_on_database,,,NA
Mabrya coccinea,no_life_form_on_database,,,NA
Lophospermum purpusii,no_life_form_on_database,,,NA
Lophospermum scandens,no_life_form_on_database,,,NA
Lophospermum erubescens,perennial,,,NA
Maurandya scandens,perennial,,,NA
Lophospermum turneri,no_life_form_on_database,,,NA
Lophospermum erectum,no_life_form_on_database,,,NA
Mabrya rosei,no_life_form_on_database,,,NA
Lophospermum breedlovei,no_life_form_on_database,,,NA
Rhodochiton atrosanguineum,perennial,,,NA
Holmgrenanthe petrophila,perennial,,,NA
Maurandella antirrhiniflora,perennial,,,NA
Maurandya barclaiana,perennial,,,NA
Epixiphium wislizenii,perennial,,,NA
Nanorrhinum cabulicum,no_life_form_on_database,,,NA
Nanorrhinum ovatum,no_life_form_on_database,,,NA
Nanorrhinum ramosissimum,perennial,,,NA
Nanorrhinum macilentum,perennial,,,NA
Nanorrhinum scariosepalum,no_life_form_on_database,,,NA
Nanorrhinum petranum,no_life_form_on_database,,,NA
Nanorrhinum acerbianum,annual,,,NA
Nanorrhinum judaicum,no_life_form_on_database,,,NA
Nanorrhinum scoparium,no_life_form_on_database,,,NA
Nanorrhinum urbani,no_life_form_on_database,,,NA
Nanorrhinum heterophyllum subsp. canariensis,no_life_form_on_database,,,NA
Nanorrhinum heterophyllum,perennial,,,NA
Nanorrhinum sagittatum,no_life_form_on_database,,,NA
Nanorrhinum asparagoides,perennial,,,NA
Nanorrhinum woodii,no_life_form_on_database,,,NA
Nanorrhinum elegans,perennial,,,NA
Kickxia aegyptiaca,perennial,,,NA
Kickxia aegyptiaca subsp. fruticosa,no_life_form_on_database,,,NA
Kickxia floribunda,perennial,,,NA
Kickxia scariosa,no_life_form_on_database,,,NA
Kickxia lanigera,annual,,,NA
Kickxia spuria,annual,,,NA
Kickxia caucasica,annual,,,NA
Kickxia sieberi,no_life_form_on_database,,,NA
Kickxia elatine subsp. crinita,no_life_form_on_database,,,NA
Kickxia commutata,perennial,,,NA
Kickxia elatine,annual,,,NA
Kickxia cirrhosa,annual,,,NA
Kickxia spuria subsp. integrifolia,annual,,,NA
Anarrhinum corsicum,perennial,,,NA
Anarrhinum laxiflorum,perennial,,rescored_biennial,NA
Anarrhinum fruticosum,perennial,,,NA
Anarrhinum forskaohlii,perennial,,,NA
Anarrhinum longipedicellatum,perennial,,rescored_biennial,NA
Anarrhinum pedatum,perennial,,rescored_biennial,NA
Anarrhinum bellidifolium,perennial,,rescored_biennial,NA
Anarrhinum duriminium,perennial,,rescored_biennial,NA
