"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Neuontobotrys tarapacana","perennial",15,5.970338,1.184137,0.305743,0.020306
"Parodiodoxa chionophila","perennial",8,7.247676,0.542509,0.191806,0.038074
"Phlebolobium maclovianum","perennial",NA,NA,NA,NA,NA
"Phravenia viereckii","no_life_form_on_database",NA,NA,NA,NA,NA
"Polypsecadium adscendens","perennial",NA,NA,NA,NA,NA
"Polypsecadium effusum","no_life_form_on_database",NA,NA,NA,NA,NA
"Polypsecadium grandiflorum","annual",4,7.361954,0.797187,0.398594,0.076148
"Polypsecadium harmsianum","annual",4,8.234708,0.463438,0.231719,0.076148
"Polypsecadium magellanicum","perennial",6,7.896255,0.57743,0.235735,0.050765
"Polypsecadium rusbyi","no_life_form_on_database",NA,NA,NA,NA,NA
"Polypsecadium solidagineum","no_life_form_on_database",NA,NA,NA,NA,NA
"Polypsecadium tucumanense","perennial",1,7.435438,NA,NA,0.304592
"Pringlea antiscorbutica","no_life_form_on_database",NA,NA,NA,NA,NA
"Romanschulzia arabiformis","annual",15,8.561028,0.504112,0.130161,0.020306
"Romanschulzia costaricensis","annual",2,9.967424,0.172069,0.121671,0.152296
"Sarcodraba dusenii","perennial",2,7.552683,0.017808,0.012592,0.152296
"Sibara angelorum","no_life_form_on_database",10,6.330012,0.484681,0.15327,0.030459
"Sibara deserti","annual",6,5.88456,0.172667,0.070491,0.050765
"Sibara laxa","no_life_form_on_database",16,6.595751,0.58496,0.14624,0.019037
"Sibara macrostachya","no_life_form_on_database",NA,NA,NA,NA,NA
"Sibara mendocina","no_life_form_on_database",NA,NA,NA,NA,NA
"Sibara tehuelches","no_life_form_on_database",NA,NA,NA,NA,NA
"Stanleya elata","perennial",16,6.799647,0.460299,0.115075,0.019037
"Stanleya pinnata","perennial",150,7.391196,0.545282,0.044522,0.002031
"Stanleya tomentosa","perennial",NA,NA,NA,NA,NA
"Streptanthella longirostris","no_life_form_on_database",94,6.913481,0.631232,0.065107,0.00324
"Streptanthus amplexicaulis","annual",NA,NA,NA,NA,NA
"Streptanthus anceps","annual",NA,NA,NA,NA,NA
"Streptanthus barbatus","perennial",6,8.820727,0.57715,0.235621,0.050765
"Streptanthus barbiger","annual",3,8.681917,0.572865,0.330744,0.101531
"Streptanthus batrachopus","annual",1,8.941938,NA,NA,0.304592
"Streptanthus bernardinus","perennial",4,7.657345,1.396906,0.698453,0.076148
"Streptanthus brachiatus","annual",1,9.017968,NA,NA,0.304592
"Streptanthus bracteatus","annual",3,8.34509,0.102071,0.058931,0.101531
"Streptanthus breweri","annual",9,8.768462,0.495832,0.165277,0.033844
"Streptanthus californicus","annual",NA,NA,NA,NA,NA
"Streptanthus callistus","annual",NA,NA,NA,NA,NA
"Streptanthus campestris","perennial",15,7.725356,0.65522,0.169177,0.020306
"Streptanthus carinatus","annual",19,7.222338,0.210871,0.048377,0.016031
"Streptanthus cooperi","annual",NA,NA,NA,NA,NA
"Streptanthus cordatus","perennial",62,7.562746,0.575174,0.073047,0.004913
"Streptanthus coulteri","annual",1,7.584265,NA,NA,0.304592
"Streptanthus crassicaulis","perennial",NA,NA,NA,NA,NA
"Streptanthus cutleri","annual",1,7.13966,NA,NA,0.304592
"Streptanthus diversifolius","annual",5,8.366943,0.283984,0.127002,0.060918
"Streptanthus farnsworthianus","annual",2,7.851081,0.121532,0.085936,0.152296
"Streptanthus fenestratus","annual",1,7.890208,NA,NA,0.304592
"Streptanthus flavescens","annual",NA,NA,NA,NA,NA
"Streptanthus glandulosus subsp. glandulosus","no_life_form_on_database",9,8.28086,0.316695,0.105565,0.033844
"Streptanthus glandulosus var. albidus","no_life_form_on_database",NA,NA,NA,NA,NA
"Streptanthus glandulosus var. niger","annual",NA,NA,NA,NA,NA
"Streptanthus glaucus","perennial",NA,NA,NA,NA,NA
"Streptanthus hallii","annual",NA,NA,NA,NA,NA
"Streptanthus hammittii","annual",NA,NA,NA,NA,NA
"Streptanthus hesperidis","annual",2,8.99838,0.681633,0.481987,0.152296
"Streptanthus heterophyllus","annual",6,7.245904,0.594482,0.242696,0.050765
"Streptanthus hispidus","annual",1,8.720297,NA,NA,0.304592
"Streptanthus howellii","perennial",2,9.295489,0.387682,0.274133,0.152296
"Streptanthus hyacinthoides","annual",17,8.535703,0.564952,0.137021,0.017917
"Streptanthus inflatus","annual",NA,NA,NA,NA,NA
"Streptanthus insignis subsp. insignis","no_life_form_on_database",1,8.462737,NA,NA,0.304592
"Streptanthus lasiophyllus","annual",6,7.636845,1.165521,0.475822,0.050765
"Streptanthus lemmonii","annual",NA,NA,NA,NA,NA
"Streptanthus longirostris","annual",8,6.775988,0.45586,0.161171,0.038074
"Streptanthus longisiliquus","perennial",5,8.915938,0.372909,0.16677,0.060918
"Streptanthus maculatus","annual",NA,NA,NA,NA,NA
"Streptanthus major","annual",NA,NA,NA,NA,NA
"Streptanthus morrisonii","annual",1,8.470521,NA,NA,0.304592
"Streptanthus petiolaris","annual",NA,NA,NA,NA,NA
"Streptanthus pilosus","annual",NA,NA,NA,NA,NA
"Streptanthus platycarpus","annual",11,7.555867,0.475612,0.143402,0.02769
"Streptanthus polygaloides","annual",7,8.471516,0.284365,0.10748,0.043513
"Streptanthus simulans","annual",NA,NA,NA,NA,NA
"Streptanthus tortuosus","annual",26,8.732199,0.704318,0.138128,0.011715
"Streptanthus vernalis","annual",1,8.847072,NA,NA,0.304592
"Thelypodiopsis ambigua","annual",7,7.064083,0.369294,0.13958,0.043513
"Thelypodiopsis elegans","annual",26,7.508808,0.370353,0.072632,0.011715
"Thelypodium crispum","annual",9,7.69661,0.416093,0.138698,0.033844
"Thelypodium flexuosum","perennial",34,7.39119,0.339067,0.05815,0.008959
"Thelypodium integrifolium","annual",32,7.592166,0.371048,0.065593,0.009519
"Thelypodium laciniatum","annual",43,7.628512,0.464778,0.070878,0.007084
"Thelypodium sagittatum","annual",13,7.704143,0.390413,0.108281,0.02343
"Thelypodium wrightii","annual",48,7.547081,0.342855,0.049487,0.006346
"Thysanocarpus conchuliferus","no_life_form_on_database",2,7.819858,0.243347,0.172072,0.152296
"Thysanocarpus curvipes var. curvipes","no_life_form_on_database",38,7.816484,0.684549,0.111049,0.008016
"Thysanocarpus erectus","no_life_form_on_database",9,6.703114,0.261181,0.08706,0.033844
"Thysanocarpus laciniatus","annual",50,7.475351,0.705201,0.09973,0.006092
"Thysanocarpus radians","annual",16,8.219808,0.590948,0.147737,0.019037
"Warea amplexifolia","annual",1,8.85495,NA,NA,0.304592
"Warea cuneifolia","annual",9,8.964209,0.080661,0.026887,0.033844
"Warea sessilifolia","annual",4,9.132604,0.108062,0.054031,0.076148
"Weberbauera herzogii","perennial",4,7.155705,0.408582,0.204291,0.076148
"Weberbauera peruviana","annual",13,8.030994,0.610228,0.169247,0.02343
"Weberbauera rosulans","no_life_form_on_database",NA,NA,NA,NA,NA
"Werdermannia anethifolia","no_life_form_on_database",NA,NA,NA,NA,NA
"Zuloagocardamum jujuyensis","no_life_form_on_database",NA,NA,NA,NA,NA
